datee;PriceUSD;Percentage
2012-03-22;4.729608505;-1.818908969
2012-03-23;4.691643177;-0.80271609
2012-03-24;4.651986266;-0.84526698
2012-03-25;4.552270262;-2.143514572
2012-03-26;4.63272236;1.767296155
2012-03-27;4.811340735;3.855581268
2012-03-28;4.790589392;-0.431300646
2012-03-29;4.794066572;0.072583566
2012-03-30;4.861409357;1.40471108
2012-03-31;4.889776873;0.583524541
2012-04-01;4.793325677;-1.972507096
2012-04-02;4.983045479;3.957999394
2012-04-03;4.956233193;-0.538070261
2012-04-04;4.917842178;-0.774600663
2012-04-05;4.920849245;0.06114607
2012-04-06;4.949107432;0.574254278
2012-04-07;4.70971191;-4.837145388
2012-04-08;4.778818849;1.467328368
2012-04-09;4.852547381;1.54281914
2012-04-10;4.841417594;-0.229359682
2012-04-11;4.915250717;1.525031086
2012-04-12;4.901158147;-0.286711109
2012-04-13;4.934406733;0.678382236
2012-04-14;4.956364661;0.444996303
2012-04-15;4.961600338;0.105635435
2012-04-16;4.950764569;-0.218392623
2012-04-17;4.968744508;0.363174982
2012-04-18;5.124377443;3.132238641
2012-04-19;5.130906511;0.127411934
2012-04-20;5.366515968;4.591965498
2012-04-21;5.282550339;-1.564620876
2012-04-22;5.195608995;-1.645821406
2012-04-23;5.110888192;-1.63062315
2012-04-24;5.087867262;-0.450429131
2012-04-25;5.148816245;1.197927931
2012-04-26;5.097419286;-0.998228665
2012-04-27;5.09588734;-0.030053363
2012-04-28;4.970736653;-2.4559155
2012-04-29;4.902606178;-1.370631355
2012-04-30;4.94211681;0.805910794
2012-05-01;4.987137227;0.910954132
2012-05-02;5.053437354;1.329422543
2012-05-03;5.118872979;1.294873578
2012-05-04;5.085507088;-0.651821033
2012-05-05;5.056639565;-0.567642974
2012-05-06;5.047800773;-0.174795762
2012-05-07;5.067555867;0.391360416
2012-05-08;5.023466423;-0.870033707
2012-05-09;5.041306236;0.35512953
2012-05-10;4.92748872;-2.257698907
2012-05-11;4.963709977;0.735085554
2012-05-12;4.946532235;-0.346066604
2012-05-13;4.944795054;-0.035119172
2012-05-14;5.011435922;1.347697275
2012-05-15;5.0336404;0.443076171
2012-05-16;5.087784509;1.075645147
2012-05-17;5.089661686;0.036895772
2012-05-18;5.118301483;0.562705305
2012-05-19;5.112545811;-0.112452765
2012-05-20;5.094200968;-0.358820115
2012-05-21;5.09422131;0.000399309
2012-05-22;5.089139189;-0.099762475
2012-05-23;5.1288589;0.78047995
2012-05-24;5.119157759;-0.189148127
2012-05-25;5.137276807;0.353945868
2012-05-26;5.103978805;-0.648164446
2012-05-27;5.134616135;0.600263665
2012-05-28;5.136325419;0.033289422
2012-05-29;5.148470698;0.236458514
2012-05-30;5.138264569;-0.198236121
2012-05-31;5.181639721;0.844159567
2012-06-01;5.266943758;1.646274952
2012-06-02;5.24363906;-0.442470983
2012-06-03;5.212704985;-0.589935254
2012-06-04;5.258765857;0.883627075
2012-06-05;5.426014295;3.180374293
2012-06-06;5.446169422;0.371453631
2012-06-07;5.58716981;2.588982767
2012-06-08;5.622529102;0.63286589
2012-06-09;5.557002335;-1.165432229
2012-06-10;5.457893569;-1.783493334
2012-06-11;5.586996982;2.365443934
2012-06-12;5.727491299;2.514666064
2012-06-13;5.909301324;3.174339613
2012-06-14;5.962023182;0.892184294
2012-06-15;6.523380719;9.415554418
2012-06-16;6.444158282;-1.214438346
2012-06-17;6.199966488;-3.789351279
2012-06-18;6.310844669;1.788367418
2012-06-19;6.494826716;2.915331576
2012-06-20;6.693551056;3.059732742
2012-06-21;6.672262504;-0.318045706
2012-06-22;6.563761698;-1.626147141
2012-06-23;6.447541689;-1.770631143
2012-06-24;6.350494039;-1.505188414
2012-06-25;6.31747363;-0.51996598
2012-06-26;6.432860829;1.826476935
2012-06-27;6.615713402;2.84247674
2012-06-28;6.590064633;-0.387694675
2012-06-29;6.658776757;1.042662372
2012-06-30;6.680427623;0.325147796
2012-07-01;6.626860092;-0.801857811
2012-07-02;6.743478051;1.759776982
2012-07-03;6.449992403;-4.352140622
2012-07-04;6.514835333;1.005317926
2012-07-05;6.642398604;1.958042908
2012-07-06;6.672181189;0.44837094
2012-07-07;6.808273712;2.039700641
2012-07-08;6.796317688;-0.175610213
2012-07-09;7.032395886;3.47361923
2012-07-10;7.178580036;2.078724691
2012-07-11;7.185147789;0.091490982
2012-07-12;7.55593565;5.160476473
2012-07-13;7.630921256;0.992406623
2012-07-14;7.580129178;-0.665608726
2012-07-15;7.62723486;0.621436395
